% Model,case3_base_model_com_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 22 2023, 17:13"
% Table,Probe Table - Tout - 
% Time (h),"T_out - 15 m - left (K), Probe_T_out - HE - 15m","T_out - 15 m - left (K), Probe_T_out - HE - 30m","T_out - 15 m - left (K), Probe_T_out - HE - 45m"
413,278.5565279999898,278.5838222092033,278.60544131302254
414,278.55149495785355,278.57839723819217,278.59997664848385
415,278.4852993211009,278.5120738242706,278.53361388926896
416,278.4308161127108,278.45772083848146,278.4792712362345
417,278.3606018504885,278.38778080946724,278.4093406310696
418,278.258104029049,278.2856922548503,278.30725631769553
419,278.18155307748924,278.2096814079645,278.2312931249261
420,278.0730145908323,278.1017391634726,278.12337514063745
421,277.99781774443073,278.027205968859,278.04890706215787
422,277.89473840509913,277.92481550024695,277.9465758114901
423,277.74601819308685,277.7768983629428,277.7987404366781
424,277.644129190887,277.67589293976914,277.69788990064484
425,277.55969652177544,277.5922546092843,277.6143996679884
426,277.5250665569105,277.5582385289123,277.58051733953
427,277.5295490365185,277.56308181914574,277.5854592392888
428,277.4866450276839,277.5203263947951,277.5427246073513
429,277.454498339302,277.48833060657455,277.51080531420416
430,277.4262463073992,277.46016973250863,277.482752468868
431,277.6281164135467,277.6617784722176,277.68448638899434
432,278.0221315241956,278.0547406524058,278.0774053283324
433,278.2432091593665,278.2742189650067,278.29655836344836
434,278.4683341341233,278.4978800790343,278.5199775954974
435,278.63241060826465,278.66076137533764,278.6826905138599
436,278.7334478537399,278.76091237975885,278.78271758656877
437,278.7784336898934,278.8052677985283,278.82697308057755
438,278.76491023659605,278.7915749180352,278.81325321601304
439,278.6729190004602,278.69974838875424,278.7214247661806
440,278.5734597561699,278.60075015305375,278.62249285731406
441,278.45238719879416,278.4803083291623,278.50214393764037
442,278.3271112812233,278.3557587897056,278.3777061295655
443,278.15929467345364,278.1887528596232,278.21081429500697
444,278.0146182938718,278.0449692047097,278.06718914100395
445,277.87078989286965,277.9020246821202,277.9244023918106
446,277.7862361142844,277.8182591647872,277.84079842222013
447,277.6408221257279,277.67354066776664,277.6961771375575
448,277.52057348082894,277.5540144100334,277.5767870918187
449,277.4549827112971,277.4890559471842,277.51197893979503
450,277.4521847891088,277.48661509905594,277.50963980551467
451,277.45304966163604,277.487580946402,277.51063472708483
452,277.46256954233377,277.4970312161666,277.5200891417918
453,277.4811213941428,277.5153870985915,277.53844167489206
454,277.47937032239605,277.51334931609034,277.53638339241127
455,277.61534009264926,277.64885216932305,277.6719011548164
456,277.81392955034846,277.84656173787636,277.8695258988416
457,278.02093933392644,278.0523569930583,278.0751306990724
458,278.2225094592662,278.2526079104242,278.2751614977267
459,278.4130825807402,278.44187118085273,278.4642055660967
460,278.5328739582389,278.5604769704706,278.58258242732956
461,278.58464064988715,278.61140975376077,278.63334614455374
462,278.5973426597513,278.6237487266009,278.6456265217038
463,278.5502371324577,278.5766077974006,278.59845178430277
464,278.45831667731807,278.48492578272584,278.5067533951857
465,278.3447869138083,278.37192231811997,278.39379015450754
466,278.267972609214,278.29584926354744,278.31782258057234
467,278.1651277014287,278.19370151759307,278.2156921294915
468,278.0404539685524,278.0699346850551,278.0920038195684
469,277.8926832590851,277.92320071865174,277.9453987887694
470,277.7510812379274,277.7827297176948,277.80511565844864
471,277.636961346452,277.6697708850414,277.69239140140013
472,277.54143961143404,277.57523724826643,277.598069286622
473,277.47990726689494,277.51454154268515,277.53758624032173
474,277.4198636686711,277.45517100715176,277.4784078030718
475,277.22588108265137,277.26187414152304,277.2852654768451
476,277.11602506135034,277.1528254465185,277.17649343947085
477,277.00089339959516,277.0383759164967,277.06228683774316
478,276.94706981617696,276.9850222950169,277.009137930539
479,277.0797823066093,277.11778151381856,277.14206393578417
480,277.33076905686704,277.3681485279559,277.3924326378609
481,277.5647425466929,277.6010036217519,277.6251139198278
482,277.7821010227679,277.81713738955585,277.8410477548739
483,277.9991113385433,278.03296861848656,278.0567102780784
484,278.1642295958901,278.19701545790736,278.2205898672224
485,278.28129747658625,278.31324182665026,278.3366762864188
486,278.31293690730956,278.3443567440203,278.36768260316313
487,278.21189831575214,278.2434015435653,278.2667110300951
488,278.092870991999,278.1248817540466,278.1482724030669
489,277.92868871858474,277.96148316516985,277.9849849113802
490,277.7714503226955,277.80514766894925,277.82878229427604
491,277.6232973437934,277.6579375489735,277.681705064206
492,277.4839852741441,277.51954124076184,277.5434302106699
493,277.33720333476015,277.37365840275123,277.3976602638102
494,277.2374111738914,277.27472460085835,277.29885975524314
